中文名,外文名,性别,国籍,身高,体重,项目,省份
安-弗雷泽 ,Shelly-Ann Fraser-Pryce,女,牙买加,160厘米,52kg,田径,
安吉尔・麦克康特利 ,Angel McCoughtry,女,美国,185cm,73kg,篮球,
毕晓琳 ,Bi Xiaolin,女,中国,,,足球,辽宁
阿莱克斯?加西亚 ,Alex Garcia,男,巴西,191厘米,89kg,篮球,
保罗・乔治 ,Paul George,男,美国,203厘米,95kg,篮球,
米西・富兰克林 ,Missy Franklin,女,美国,1.88米,75kg,游泳,
李胜珍 ,Li Shengzhen,女,韩国,165 厘米,60kg,射箭,
马龙 ,Ma Long,男,中国,175cm,72kg,乒乓球,辽宁
拉尔斯-本德 ,Lars Bender,男,德国,184cm,77kg,男子足球,
木村纱织 ,Saori Kimura,女,日本,185厘米,65kg,排球,
吕小军 ,Lv Xiaojun,男,中国,172厘米,77kg,举重,湖北
米歇尔・普罗菲 ,Michelle Plouffe,女,加拿大,191厘米,82kg,篮球,
林希妤 ,Lin Xiyu,女,中国,,,高尔夫,广东
米兰达・阿伊木 ,Miranda Ayim,女,加拿大,183厘米,78kg,篮球,
李昊桐 ,Li Haotong,男,中国,183厘米,75kg,高尔夫,湖南
毛艺 ,Mao Yi,女,中国,,,体操,辽宁
李龙大 ,Lee Yong Dae,男,韩国,178厘米,65kg,羽毛球,
苗甜 ,Miao Tian,女,中国,,,赛艇,北京
李皓晴 ,Li Haoqing,女,中国香港,,,乒乓球,香港
马克・加索尔 ,Marc Gasol,男,西班牙,216cm,120kg,篮球,
马赛林霍?胡尔塔斯 ,Marcelinho Huertas,男,巴西,190厘米,85kg,篮球,
马晓旭 ,MA Xiaoxu,女,中国,,,足球,辽宁
马英楠 ,Ma Ying Nan,女,中国,,,柔道,辽宁
马青 ,Ma Qing,女,中国,,,皮划艇静水,山东
马剑飞 ,Ma Jianfei,男,中国,186厘米,77kg,击剑,广东
玛蒂娜・辛吉斯 ,Martina Hingis,女,瑞士,170cm,,网球,
马修・埃蒙斯 ,Matthew Emmons,男,美国,178厘米,80kg,射击,
马思莱尼科夫 ,Vladimir MASLENNIKOV,男,俄罗斯,168厘米,67kg,射击男子气步枪,
米尔扎 ,Sania Mirza,女,印度,173cm,57kg,网球,
内内?希拉里奥 ,Nene Hilario,男,巴西,211厘米,113kg,篮球,
马金尼奥斯 ,Marquinhos,男,巴西,183cm,80kg,男子足球,
马修・德拉夫多瓦 ,Matthew Dellavedova,男,澳大利亚,193厘米,86kg,篮球,
尼古拉斯・巴图姆 ,Nicolas Batum,男,法国,203厘米,90kg,篮球,
毛飞廉 ,Mao Feilian,男,中国,,,游泳,浙江
马努・吉诺比利 ,Manu Ginobili,男,阿根廷,198厘米,93kg,篮球,
诺瓦克・德约科维奇 ,Novak Djokovic,男,塞尔维亚,187厘米,80kg,网球,
迈尔 ,Max Meyer,男,德国,173cm,69kg,男子足球,
马克・霍顿 ,Mark Houghton,男,澳大利亚,,,游泳,
娜塔莉・阿乔恩瓦 ,Natalie Achonwa,女,加拿大,192厘米,83kg,篮球,
马欢欢 ,Ma Huanhuan,女,中国,178厘米,73kg,女子水球,广西
马晋 ,?Ma Jin,女,中国,167厘米,60kg,羽毛球,江苏
内瓦尔・塞娜 ,Saina Nehwal,女,印度,167厘米,60kg,羽毛球,
梅笑寒 ,Mei Xiaohan,女,中国,,,水球,安徽
莫有雪 ,Mo Youxue,男,中国,179cm,65kg,田径,广东
内村航平 ,Kohei Uchimura,男,日本,161cm,55kg,体操,
孟强 ,Meng Qiang,男,中国,,,摔跤,
米奇?拉尔金 ,Mitch Larkin,男,澳大利亚,187厘米,72kg,游泳,
内弗利耶・伊尔马兹 ,Nevriye Yilmaz,女,土耳其,194厘米,85kg,篮球,
玛雅・摩尔 ,Maya Moore,女,美国,175cm,79kg,篮球,
马端斌 ,Ma Duan Bin,男,中国,,,柔道,北京
牛冠男 ,Niu Guannan,女,中国,,,水球,广西
马梦露 ,Ma Menglu,女,中国,,,自行车,河南
玛利亚・格罗兹德娃 ,Maria Grozdeva,女,保加利亚,163厘米,66kg,射击,
内马尔 ,Neymar,男,巴西,175cm,64kg,男子足球,
莫有雪 ,Mo Youxue,男,中国,179cm,65kg,田径,广东
宁泽涛 ,Ning Zetao,男,中国,191cm,76-80kg,游泳,河南
朴泰桓 ,Park Tae-Hwan,男,韩国,183厘米,74kg,游泳,
娜迪亚・考尔哈多 ,Nadia Colhado,女,巴西,194厘米,84kg,篮球,
彭飞 ,Peng Fei,男,中国,,,摔跤,陕西西安
欧紫霞 ,Ou Zixia,女,中国,,,女子曲棍球,四川
乔・英格尔斯 ,Joe Ingles,男,澳大利亚,,,篮球,
潘飞鸿 ,Pan Feihong,女,中国,,53kg,赛艇,浙江
乔斯・卡尔德隆 ,Jose Calderon,男,西班牙,191cm,95kg,篮球,
庞丰月 ,PANG Fengyue,女,中国,,,足球,辽宁
切阳什姐 ,Qie Yangshijie,女,中国,159cm,47kg,田径,青海
彭帅 ,Peng Shuai,女,中国,173厘米,65kg,网球,天津
c野公介 ,Kosuke Hagino,男,日本,175厘米,70kg,游泳,
庞伟 ,PangWei,男,中国,179厘米,80kg,射击,河北
邱子傲 ,Qiu Ziao,男,中国,180cm,,游泳,上海
佩特拉・科维托娃 ,Petra Kvitova,女,捷克,183厘米,70kg,网球,
邱波 ,Qiu Bo,男,中国,162厘米,59kg,跳水,四川省
彭林 ,Peng Lin,女,中国,184厘米,72kg,排球,湖南
奇甫倍 ,Ki Bo Bae,女,韩国,168厘米,56kg,射箭,
彭杨 ,Peng Yang,女,中国,163cm,59kg,曲棍球,四川
秦凯 ,Qin Kai,男,中国,170厘米,65kg,跳水,陕西省
宁泽涛 ,Ning Zetao,男,中国,191cm,76-80kg,游泳,河南
秦晨路 ,Qin Chenlu,男,中国,,,自行车,上海崇明
邵婷 ,Shao Ting,女,中国,188厘米,75kg,篮球,上海
塞尔吉奥・罗德里格斯 ,Sergio Rodriguez,男,西班牙,191cm,80kg,篮球,
齐玉红 ,Qi Yuhong,女,中国,,,射箭,
赛音吉日嘎拉 ,Sai Yin Ji Ri Ga La,男,中国,,,柔道,内蒙古自治区
孙晓 ,Sun Xiao,女,中国,,,曲棍球,江苏
秦钟午 ,Jin Jong-Oh,男,韩国,175厘米,78kg,射击,
孙一文 ,Sun Yiwen,女,中国,177厘米,,击剑,山东
松本俜 ,Cazuo Matsumoto,男,巴西,172厘米,63kg,乒乓球,
乔治里奥?帕尔特里涅利 ,Gregorio Paltrinieri,男,意大利,191厘米,72kg,游泳,
苏欣悦 ,SU Xinyue,女,中国,178厘米,95kg,女子铁饼,河北
孙完虎 ,SON Wan Ho,男,韩国,177厘米,69kg,羽毛球,
任梦茜 ,REN Mengqian,女,中国,178厘米,65kg,女子撑杆跳,浙江
水谷隼 ,Mizutani Jun,男,日本,172厘米,66kg,乒乓球,
石智勇 ,Shi Zhi Yong,男,中国:,,,举重,广西
瑞安・罗切特 ,Ryan Lochte,男,美国,188cm,87kg,游泳,
史婧琳 ,Shi Jinglin,女,中国,,,游泳,江苏
彭林 ,Peng Lin,女,中国,184厘米,72kg,排球,湖南
沈晨 ,Shen Chen,女,中国,171cm,60kg,击剑,江苏
任文君 ,Ren Wenjun,女,中国,175厘米,67kg,皮划艇激流,山东
沈铎 ,Shen Duo,女,中国,182厘米,,游泳,江苏
孙伟 ,Sun Wei,男,中国,193cm,,击剑,江苏
入江陵介 ,Ryosuke Irie,男,日本,178厘米,,游泳,
孙美晨 ,Sun Meichen,女,中国,,,游泳,河北
施嘉洛 ,Shi Jialuo,男,中国,184cm,,击剑,福建
任灿灿 ,Ren Cancan,女,中国,167厘米,51kg,拳击,山东省
石川佳纯 ,Ishikawa Kasumi,女,日本,157厘米,49kg,乒乓球,
商科元 ,Shang Keyuan,男,中国,,,游泳,浙江
山俊 ,Shan Jun,男,中国,,,拳击,云南
赛尔吉奥・鲁尔 ,Sergio Llull,男,西班牙,191cm,86kg,篮球,
孙妍在 ,Son Yeon-Jae,女,韩国,165厘米,47kg,艺术体操,
尚蓉 ,Shang Rong,女,中国,,,艺术体操,辽宁
苏・伯德 ,Suzanne Brigit Bird,女,美国,175cm,68kg,篮球,
舒建明 ,Shu Jianming,男,中国,,,皮划艇激流,四川
舒思瑶 ,Shu Siyao,女,中国,172米厘米,49kg,艺术体操,四川
孙兴O ,Son Heung-Min,男,韩国,182cm,76kg,男子足球,
孙满 ,Sun Man,男,中国,,,赛艇,辽宁
苏炳添 ,Su Bingtian,男,中国,172厘米,65kg,田径,广东
孙杨 ,Sun Yang,男,中国,198厘米,89kg,游泳,浙江
孙雅婷 ,Sun Ya Ting,女,中国,180厘米,78kg,女子水球,天津
斯特格 ,Steger Bastian,男,德国,176cm,67kg,乒乓球,
宋冬伦 ,Song Dong Lun,女,中国,178厘米,82kg,女子水球,北京
宋清龄 ,Song Qingling ,女,中国,174厘米,71kg,女子曲棍球,辽宁
孙梦然 ,Sun Meng Ran,女,中国,197厘米,77kg,篮球,天津
萨拉・埃拉尼 ,Sara Errani,女,意大利,164厘米,60kg,网球,
孙梦昕 ,Sun Meng Xin,女,中国,190厘米,77kg,篮球,山东
沈平安 ,Shen Ping'an,男,中国,,,自行车,四川宜宾
孙文雁 ,Sun Wenyan,女,中国,170cm,58kg,花样游泳,湖南
斯文-本德 ,Sven Bender,男,德国,184cm,77kg,男子足球,
孙玉洁 ,Sun Yujie,女,中国,185厘米,72kg项目:击剑,,辽宁
桑托?康多莱利 ,Santo Condorelli,男,加拿大,188厘米,88kg,游泳,
索尔佳 ,Solja,女,德国,,,乒乓球,
田涛 ,Tian Tao,男,中国,,,举重,湖北宜昌
王宇 ,Wang Yu,男,中国,188cm,75kg,乒乓球,山东
睢冉 ,Sui Ran,男,中国,192厘米,95kg,篮球,山西太原
图格斯・卡尼特兹 ,Tugce Canitez,女,土耳其,190厘米,85kg,篮球,
王妍 ,Wang Yan,女,中国,140厘米,,体操,北京
帖雅娜 ,Tie Yana,女,中国香港,,,乒乓球,
孙梦昕 ,Sun Meng Xin,女,中国,190厘米,77kg,篮球,山东
唐奕 ,Tang Yi,女,中国,177厘米,70kg,游泳,上海
王宇微 ,Wang Yuwei,女,中国,,,赛艇,内蒙古
托尼・帕克 ,Tony Parker,男,法国,188厘米,82kg,篮球,
田志希 ,JEON Jihee,女,韩国,,,乒乓球,
王玮 ,Wang Wei,男,中国,,,帆船,浙江
唐功臣 ,Tang Gongcheng,男,中国,180cm,68kg,田径,河北
汤星强 ,Tang Qingqiang,男,中国,170cm,65kg,田径,福建
王莲媛 ,Wang Lianyuan,女,中国,,,铁人三项,山东
谭佳薪 ,Tan Jiaxin,女,中国,,,体操,湖南
吴静钰 ,Wu Jingyu,女,中国,167厘米,49kg,跆拳道,江西
王娜 ,Wang Na,女,中国,,,排球,浙江
唐鹏 ,Tang Peng,男,中国香港,175厘米,73kg,乒乓球,
王春雨 ,WANG Chunyu,女,中国,176厘米,43kg,女子800米,安徽
吴海燕 ,WU Haiyan,女,中国,,,足球,浙江
汤梦妮 ,Tang Mengni,女,中国,169cm,59kg,花样游泳,上海
王凯华 ,Wang Kaihua,男,中国,175cm,55kg,田径,广东
维克多・克拉弗 ,Victor Claver ,男,西班牙,207cm,107kg,篮球,
谭茹殷 ,TAN Ruyin,女,中国,,,足球,广东
王振东 ,Wang Zhendong,男,中国,175cm,62kg,田径,江苏
汪雪儿 ,Wang Xueer,女,中国,,,游泳,广东
唐雨婷 ,Tang Yuting,女,中国,,,游泳,广东
吴水娇 ,WU Shuijiao,女,中国,176厘米,65kg,女子100米栏,广东
王珊珊 ,WANG Shanshan,女,中国,,,足球,河南
王霜 ,WANG Shuang,女,中国,,,足球,湖北
吴迪 ,Wu Di,女,中国,186厘米,72kg,篮球,天津
王焱 ,Wang Yan,女,中国,,,足球,辽宁
王镇 ,Wang  Zhen,男,中国,177厘米,63kg,男子20公里竞走,黑龙江
魏宁 ,Wei Ning,女,中国,166厘米,60kg,射击,山东
王梦雨 ,Wang Mengyu,女,中国,170,70,曲棍球,江苏
王智伟 ,Wang Zhiwei,男,中国,178,75,射击,山西
吴敏霞 ,Wu Minxia,女,中国,167厘米,53kg,跳水,上海市
王铁鑫 ,Wang Tiexin,男,中国,188厘米,75kg,赛艇,浙江省
吴宇航 ,Wu Yuhang,男,中国,,,游泳,浙江
吴琼 ,Wu Qiong,女,中国,,,曲棍球,甘肃
汪顺 ,Wang Shun,男,中国,192厘米,74kg,游泳,浙江
王哲林 ,Wang Zhelin,男,中国,214厘米,110kg,篮球,福建
王峥 ,Wang zheng,女,中国,174厘米,87kg,女子链球,陕西
王爱忱 ,Wang Aichen,男,中国,185厘米,70kg,帆船,辽宁省
王杰 ,Wang Jie,女,中国,,,赛艇,河南
王晓丽 ,Wang Xiaoli,女,中国,169厘米,70kg,帆船,山东省
王纯鑫 ,Wang Chunxin,男,中国,,,赛艇,辽宁
王歆艳 ,Wang Xinyan,女,中国,181厘米,73kg,水球,上海
王路敏 ,Wang Lumin,男,中国,,,摔跤,山西
王施佳 ,Wang Shijia,女,中国,173厘米,62kg,游泳,辽宁
吴阿顺 ,Wu Ashun,男,中国,,,高尔夫,福建
谢拉-卡斯特罗 ,Sheilla Castro,女,巴西,185厘米,64kg,排球,
王红 ,Wang Hong,女,中国,,,自行车,河南商丘
徐晓龙 ,Xu Xiaolong,男,中国,188cm,70kg,田径,重庆
许昕 ,Xu Xin,男,中国,180厘米,67kg,乒乓球,上海
王祯 ,Wang Zhen,男,中国,,,自行车,甘肃会宁
夏洛特・迪雅尔丹 ,Charlotte Susan J. Dujardin,女,英国,170米厘米,61kg,马术,英国
熊敦瀚 ,Xiong Dunhan,女,中国,,,水球,湖南
魏秋月 ,Wei Qiuyue,女,中国,183厘米,75kg,排球,天津
向艳梅 ,Xiang Yanmei,女,中国,,,举重,湖南
徐莉佳 ,Xu Lijia,女,中国,176厘米,60kg,帆船,上海市
王仪涵 ,Wang YI Han,女,中国,178厘米,65kg,羽毛球,上海
肖娜・索伯恩 ,Shona Thorburn,女,加拿大,178厘米,64kg,篮球,
邢宇 ,Xing Yu,男,中国,188cm,77kg,射箭,北京
维斯尼娜 ,Elena Sergeevna Vesnina,女,俄罗斯,176厘米,70kg,网球,
谢震业 ,Xie Zhenye,男,中国,183厘米,76kg,田径,浙江
西蒙妮・奥古斯图斯 ,Seimone Augustus,女,美国,183cm,81kg,篮球,
王大鹏 ,Wang Dapeng,男,中国,,,射箭,
徐臧军 ,Xu Cang Jun,男,中国,,,帆船,浙江
希尔维亚・福尔斯 ,Sylvia Fowles,女,美国,198cm,90kg,篮球,
王日炜 ,Wang Riwei,男,中国,,,皮划艇静水,广州
薛娇 ,XUE Jiao,女,中国,,,足球,辽宁
辛鑫 ,Xin Xin,女,中国,175厘米,58kg,游泳,山东
吴佳欣 ,Wu Jiaxin,女,中国,,,射箭,
许安琪 ,Xu Anqi,女,中国,183厘米,75kg,击剑,江苏
徐蕊 ,Xu Rui,女,中国,,,摔跤,北京
王嘉男 ,Wang Jianan,男,中国,185cm,70kg,田径,辽宁
徐嘉余 ,Xu Jiayu,男,中国,1.84米,,游泳,浙江
小威廉姆斯 ,Serena Williams,女,美国,178cm,70kg,网球,
徐孝元 ,SUH Hyowon,女,韩国,160cm,53kg,乒乓球,
于颂 ,Yu Song,女,中国,,,柔道,山东青岛
尹军花 ,Yin Junhua,女,中国,,,拳击,河北
徐云丽 ,Xu Yunli,女,中国,197厘米,86kg,排球,福建
杨俊霞 ,Yang Jun Xia,女,中国,,,柔道,山东
徐超 ,Xu Chao,男,中国,,,自行车,上海
于伟 ,Yu Wei,男,中国,180cm,62kg,田径,山东
薛超华 ,Xue Chaohua,男,中国,,,自行车,北京
袁琦琦 ,YUAN Qiqi,女,中国,165厘米,50kg,女子短跑,江苏
徐晨 ,Xu Chen,男,中国,186厘米,80kg,羽毛球,江苏
岳超 ,YUE Chao,女,中国,165厘米,55kg,女子马拉松,江苏
西蒙・拜尔斯 ,Simone Biles,女,美国,145cm,,竞技体操,
杨洋 ,Yang Yang,男,中国,183cm,75kg,乒乓球,山东
肖棣 ,Xiao Di,男,中国,,,摔跤,
亚历山大・马里奇 ,Alexander Maric,男,澳大利亚,,,篮球,
谢文骏 ,Xie Wenjun,男,中国,190厘米,85kg,田径,上海市
杨曼 ,YANG Man,女,中国,,,足球,山东
薛长锐 ,Xue Changrui,男,中国,188cm,75kg,田径,山东
杨丽 ,YANG Li,女,中国,,,足球,江苏
于梦雨 ,Yu Mengyu,女,新加坡,,,乒乓球,
尹成昕 ,Yin Chengxin,女,中国,168cm,58kg,花样游泳,湖北
杨B ,Yang Jun,女,中国,180cm,69kg,女子水球,北京
姚平 ,Yao Ping,女,中国,,,自行车,山东
于静瑶 ,Yu Jingyao,女,中国,,,游泳,北京
伊万・加西亚 ,Iván García,男,墨西哥,165厘米,55kg,跳水,
颜妮 ,Yan Ni,女,中国,192厘米,72kg,排球,辽宁
尤塞恩-博尔特 ,Usain Bolt,男,牙买加,196厘米,86kg,田径,
亚瑟明・达尔加拉尔 ,Yasemin Dalgalar,女,土耳其,183厘米,70kg,篮球,
雅尼克-阿格内尔 ,Yannick Agnel,男,法国,202cm,90kg,游泳,
余成刚 ,Yu Chenggang ,男,中国,181厘米,70kg,赛艇,四川省
余贺新 ,Yu Hexin,男,中国,,,游泳,广东
叶卡捷琳娜・马卡洛娃 ,Ekaterina Makarova ,女,俄罗斯,183cm,71kg,网球,
杨哲 ,Yang Zhe,男,中国:,180厘米,,举重,山东
闫子贝 ,Yan Zibei,男,中国,,,游泳,湖北
于洋 ,Yu Yang,女,中国,166厘米,56kg,羽毛球,辽宁
伊拉・玛利亚麻・迪亚拉 ,Elea Mariama Diarra,女,田径,175厘米,56kg,田径,
杨晔 ,Yang Ye,女,中国,,,艺术体操,辽宁
亚德里安娜・平托 ,Adriana Pinto,女,巴西,170厘米,62kg,篮球,
易思玲 ,YI Siling,女,中国,165厘米,51kg,射击,湖南
叶诗文 ,Ye Shiwen,女,中国,172厘米,64kg,游泳,浙江
叶尔兰别克-卡泰 ,Ye Er Lan Bie Ke Ka Tai,男,中国,,66kg,摔跤,甘肃
尤浩 ,You Hao,男,中国,,,体操,江苏
伊萨贝尔・雅稠堡 ,Isabelle Yacoubou,女,法国,190厘米,项目:篮球,,
伊斯安妮・马奎斯 ,Iziane Marques,女,巴西,182厘米,71kg,篮球,
易建联 ,Yi Jianlian,男,中国,213厘米,113kg,篮球,广东
杨斌 ,Yang Bin,男,中国,,,摔跤,
尤纳斯・瓦兰修纳斯 ,Jonas Valanciunas,男,立陶宛,213cm,111kg,篮球,
伊斯尔・阿尔本 ,Isil Alben,女,土耳其,170厘米,60kg,篮球,
伊藤美诚 ,Mima Ito,女,日本,,,乒乓球,
周一涵 ,Zhou Yihan,女,新加坡,,,乒乓球,
赵明刚 ,Zhao Minggang,男,中国,,,拳击,河北
张灵 ,Zhang Ling,女,中国,,,赛艇,上海
张继科 ,Zhang Jike,男,中国,181cm,70kg,乒乓球,山东
周羿霖 ,Zhou Yilin,女,中国,,,游泳,河北
朱仁学 ,Zhu Renxue,男,中国,181cm,70kg,田径,云南
周敏 ,Zhou Min,女,中国,,,游泳,上海
张成龙 ,Zhang Chenglong,男,中国,173厘米,65kg,体操,山东省
朱梦惠 ,Zhu Menghui,女,中国,,,游泳,浙江
张晓楠 ,Zhang Xiaonan,女,中国,,,现代五项,辽宁
赵丽娜 ,ZHAO Lina,女,中国,,,足球,上海
张航 ,Zhang Hang,男,中国,180cm,70kg,田径,云南
张箫雪 ,Zhang Xiaoxue,女,中国,,,曲棍球,辽宁
郑荣植 ,JEOUNG Youngsik,男,韩国,182厘米,65kg,乒乓球,
张越 ,ZHANG Yue,女,中国,,,足球,天津
朱世赫 ,Joo Se-Hyuk,男,韩国,180厘米,68kg,乒乓球,
张馨予 ,Zhang Xinyu,女,中国,,,游泳,河南
张新艳 ,ZHANG Xinyan,女,中国,164厘米,48kg,女子中长跑,甘肃
张雨霏 ,Zhang Yufei,女,中国,,,游泳,江苏
张馨月 ,Zhang Xiyue,女,中国,,,赛艇,山东
张雨涵 ,Zhang Yuhan,女,中国,,,游泳,湖北
赵容 ,ZHAO Rong,女,中国,,,足球,北京
周鹏 ,Zhou Peng,男,中国,206厘米,90kg,篮球,辽宁
赵景滨 ,Zhao Jingbin,男,中国,,,赛艇,山东
周玉 ,Zhou Yu,女,中国,174厘米,68kg,皮划艇静水,湖南
张文秀 ,Zhang Wenxiu,女,中国,182厘米,113kg,女子链球,辽宁
周凤 ,Zhou Feng,女,中国,,,摔跤,江西
张金荣 ,Zhang Jinrong,女,中国,,,曲棍球,吉林
张| ,Zhang Cong,女,中国,176厘米,65kg,水球,天津
赵宝芳 ,Zhao Baofang,女,中国,,,自行车,河南
张睿 ,ZHANG Rui,女,中国,,,足球,山东
张贤秀 ,Jang hyun soo,男,韩国,187cm,77kg,男子足球,
钟天使 ,Zhong Tianshi,女,中国,,,自行车,上海
周琦 ,Zhou Qi,男,中国,217厘米,95kg,篮球,河南新乡
张帅 ,Zhang Shuai,女,中国,177厘米,65kg,网球,天津
赵子涵 ,Zhao Zihan,女,中国,173厘米,63kg,排球,上海
赵玉雕 ,Zhao Yudiao,女,中国,174厘米,70kg,女子曲棍球,辽宁
朱启南 ,Zhu Qinan,男,中国,182厘米,67kg,射击,浙江
张薇薇 ,Zhang Weiwei,女,中国,183厘米,64kg,女子水球,辽宁
詹姆斯・盖伊 ,James Guy,男,英国,187厘米,83kg,游泳,
祖立军 ,Zu Lijun,男,中国,1.85米,,游泳,江苏
张国伟 ,Zhang Guowei,男,中国,200厘米,77kg,男子跳高,山东
张伯伦・奥古奇 ,Chamberlain Oguchi,男,尼日利亚,198厘米,91kg,篮球,
张麒斌 ,Zhang Qibin,男,中国,,,游泳,山东
赵志芳 ,Zhao Zhi Fang,女,中国,168厘米,,篮球,
张楠 ,Zhang Nan,男,中国,183厘米,75kg,羽毛球,北京
朱韦伟 ,Zhu Weiwei ,女,中国,180厘米,72kg,赛艇,江苏省
张培萌 ,Zhang Peimeng,男,中国,186厘米,86kg,田径,北京
赵芸蕾 ,Zhao Yunlei,女,中国,173厘米,62kg,羽毛球,湖北
赵敬楠 ,Zhao Jingnan,女,中国,,,艺术体操,辽宁
张玲 ,Zhang Lin,女,中国,,,艺术体操,浙江
张凤柳 ,Zhang Feng Liu,女,中国,,,摔跤,辽宁
钟雪纯 ,Zhong Xue Chun,女,中国,,,摔跤,广西壮族自治区
张敏 ,Zhang Min,女,中国,,,帆船,山东济南
周琦 ,Zhou Qi,男,中国,217厘米,95kg,篮球,河南新乡
翟晓川 ,Zhai Xiaochuan,男,中国,204厘米,100kg,篮球,河北唐山
张浙慧 ,Zhang Zhehui,女,中国,,78kg,柔道,江苏
赵继伟 ,Zhao Jiwei,男,中国,185厘米,77kg,篮球,辽宁海城
邹雨宸 ,Zou yuchen,男,中国,208厘米,108kg,篮球,辽宁大连
